id,name,s2006e2020bao,s2006e2020bah,s2006e2020bal
2038,海光,4.4,3.4,5.7
2041,,,,
2043,,,,
2048,,,,
2049,上銀,23.7,23.0,24.0
2056,,,,
2059,川湖,5.3,4.6,6.3
2060,,,,
2061,風青,-0.4,-1.4,0.8
2062,橋椿,-1.1,-1.9,0.0
2063,世鎧,2.3,1.5,3.4
2064,晉椿,0.1,-0.4,1.0
2065,世豐,10.4,9.1,11.1
2066,世德,-5.6,-6.1,-4.5
2067,嘉鋼,-10.3,-11.2,-8.6
2068,,,,
2069,運錩,1.9,1.3,3.0
2070,精湛,-17.4,-17.8,-14.9
2071,,,,
2072,,,,
2101,南港,7.8,7.2,8.4
2102,泰豐,4.6,3.9,5.4
2103,台橡,6.9,6.5,7.3
2104,國際中橡,9.6,9.2,10.0
2105,正新,10.9,10.4,11.3
2106,建大,11.0,10.4,11.5
2107,厚生,8.1,7.4,8.7
2108,南帝,17.8,17.2,18.1
2109,華豐,3.5,2.6,4.3
2114,鑫永銓,12.3,11.6,12.9
2115,六暉-KY,3.9,3.1,5.1
2201,裕隆,4.1,3.1,5.2
2204,中華,7.1,6.1,8.3
2206,三陽工業,9.4,8.5,10.1
2207,和泰車,17.2,16.6,17.8
2208,台船,4.7,4.0,5.5
2211,,,,
2215,,,,
2218,,,,
2219,,,,
2220,,,,
2221,大甲,2.0,0.3,3.5
2222,,,,
2225,,,,
2226,,,,
2227,裕日車,10.7,9.3,12.2
2228,劍麟,1.2,0.4,2.2
2230,泰茂,-1.2,-2.3,-0.2
2231,為升,25.9,25.2,26.3
2233,宇隆,7.2,6.4,8.3
2235,謚源,-3.9,-4.6,-2.9
2236,百達-KY,-10.0,-11.0,-7.0
2237,,,,
2239,英利-KY,-3.2,-4.1,-1.0
2241,艾姆勒,-13.6,-13.9,-12.2
2243,宏旭-KY,-20.2,-21.4,-16.5
2245,,,,
2246,,,,
2247,汎德永業,-8.8,-9.1,-8.0
2248,,,,
2249,,,,
2301,光寶科,6.4,5.8,7.3
2302,麗正,12.6,11.4,13.7
2303,聯電,10.8,9.8,11.7
2305,全友,5.3,4.1,6.4
2308,台達電,12.5,11.9,13.0
2311,日月光,10.9,10.1,11.9
2312,金寶,2.0,1.1,2.9
2313,華通,9.0,7.5,10.6
2314,台揚,7.6,6.7,8.9
2316,楠梓電,8.3,6.9,9.7
2317,鴻海,5.2,4.6,6.0
2321,東訊,2.4,-0.2,5.5
2323,中環,1.5,0.3,2.8
2324,仁寶,3.0,2.4,3.8
2325,矽品,6.5,5.9,7.2
2327,國巨,31.7,30.4,33.4
2328,廣宇,-0.3,-1.3,1.3
2329,華泰,7.0,5.8,8.0
2330,台積電,17.9,17.5,18.4
2331,精英,7.7,6.3,9.3
2332,友訊,3.9,3.0,5.1
2337,旺宏,16.9,16.1,17.8
2338,光罩,11.3,10.6,12.1
2340,光磊,8.3,7.5,9.3
2342,茂矽,11.2,9.3,13.7
2344,華邦電,9.4,7.9,11.1
2345,智邦,25.3,24.3,26.7
2347,聯強,6.8,6.3,7.4
2348,海悅,22.8,20.2,25.4
2349,錸德,2.6,1.0,4.4
2351,順德,15.9,14.9,16.7
2352,佳世達,4.8,3.1,6.9
2353,宏,-1.9,-3.1,-0.4
2354,鴻準,-0.6,-1.3,0.3
2355,敬鵬,6.1,5.4,6.8
2356,英業達,7.6,6.9,8.5
2357,華碩,12.6,11.9,13.6
2358,廷鑫,4.2,2.9,5.5
2359,所羅門,8.6,7.9,9.2
2360,致茂,15.3,14.6,15.9
2362,藍天,8.2,7.7,8.6
2363,矽統,2.7,1.4,4.7
2364,倫飛,-0.6,-2.1,1.3
2364A,,,,
2365,昆盈,0.9,0.2,1.9
2367,燿華,5.9,4.9,7.2
2368,金像電,10.0,8.6,11.5
2369,菱生,3.7,2.8,4.8
2371,大同,7.2,6.1,8.4
2373,震旦行,14.5,14.0,14.8
2374,佳能,0.3,-0.4,1.3
2375,凱美,18.7,16.8,20.3
2376,技嘉,12.1,11.1,13.1
2377,微星,18.5,17.8,19.2
2379,瑞昱,20.3,19.5,21.0
2380,虹光,-1.7,-2.9,0.1
2381,華宇,-15.7,-18.3,-10.3
2382,廣達,8.6,8.1,9.1
2383,台光電,21.7,20.5,22.7
2384,勝華,-25.7,-27.7,-20.1
2385,群光,13.0,12.5,13.4
2387,精元,8.9,7.7,10.1
2388,威盛,7.5,5.7,9.6
2390,云辰,3.9,3.0,4.8
2392,正崴,0.7,-0.2,2.1
2393,億光,0.7,-0.1,1.9
2395,研華,15.4,14.8,16.2
2396,精碟科技,-35.5,-37.6,-29.6
2397,友通,8.7,8.1,9.3
2399,映泰,4.1,3.0,5.3
2401,凌陽,0.8,-0.5,2.2
2402,毅嘉,0.7,-0.6,2.3
2404,漢唐,22.4,21.5,23.2
2405,浩鑫,1.2,-0.1,2.6
2406,國碩,8.4,7.0,9.9
2408,南亞科,16.0,12.9,19.4
2409,友達,-1.9,-3.0,-0.1
2412,中華電,10.0,9.7,10.2
2413,環科,6.3,5.3,7.4
2414,精技,10.5,9.9,11.0
2415,錩新,10.4,9.5,11.1
2417,圓剛,6.9,5.6,8.2
2419,仲琦,10.4,9.6,11.3
2420,新巨,9.4,8.6,10.1
2421,建準,12.8,12.3,13.4
2423,固緯,8.8,8.2,9.2
2424,隴華,6.4,5.5,7.5
2425,承啟,12.9,11.9,14.2
2426,鼎元,4.2,3.2,5.7
2427,三商電,4.0,3.2,4.9
2428,興勤,17.1,16.2,17.8
2429,銘旺科,15.7,14.6,16.8
2430,燦坤,0.5,-0.4,2.1
2431,聯昌,2.0,0.8,3.4
2433,互盛電,15.5,15.1,15.9
2434,統懋,6.3,4.5,7.8
2436,偉詮電,9.9,9.0,10.9
2438,翔耀,2.5,-1.6,5.9
2439,美律,9.6,8.3,11.2
2440,太空梭,7.9,7.1,8.7
2441,超豐,9.4,8.9,10.1
2442,新美齊,4.1,2.7,5.5
2443,億麗,-2.3,-3.6,-0.5
2444,兆勁,2.3,1.1,3.8
2448,晶電,-0.6,-1.9,0.9
2449,京元電子,7.0,5.9,8.5
2450,神腦,7.6,7.1,7.9
2451,創見,5.2,4.6,5.8
2453,凌群,6.8,5.9,7.5
2454,聯發科,8.5,7.7,9.5
2455,全新,19.0,18.1,19.8
2456,奇力新,16.1,15.0,17.1
2457,飛宏,2.7,1.9,4.2
2458,義隆,18.0,17.3,18.6
2459,敦吉,7.0,6.0,8.1
2460,建通,4.7,4.0,5.5
2461,光群雷,3.7,2.9,4.6
2462,良得電,10.4,9.8,10.9
2464,盟立,8.9,8.4,9.6
2465,麗臺,5.7,3.9,7.9
2466,冠西電,4.0,3.5,4.2
2467,志聖,10.8,10.0,11.5
2468,華經,6.0,5.4,6.6
2471,資通,10.7,9.5,11.7
2472,立隆電,13.1,11.9,14.6
2474,可成,5.1,4.2,6.1
2475,華映,-18.6,-20.8,-13.9
2476,鉅祥,4.4,3.8,5.1
2477,美隆電,9.6,8.5,10.8
2478,大毅,12.9,11.8,13.8
2480,敦陽科,16.2,15.6,16.7
2481,強茂,10.2,9.2,11.5
2482,連宇,-1.7,-2.6,-0.7
2483,百容,5.0,4.2,6.0
2484,希華,5.1,4.1,6.2
2485,兆赫,0.8,0.2,1.7
2486,一詮,1.9,0.8,3.2
2488,漢平,9.9,9.2,10.6
2489,瑞軒,5.0,4.3,5.8
2491,吉祥全,12.8,12.0,13.5
2492,華新科,19.6,17.8,21.2
2493,揚博,12.4,11.6,13.3
2495,普安,-1.9,-2.5,-0.8
2496,卓越,24.7,23.6,26.2
2497,怡利電,4.3,3.3,5.3
2498,宏達電,-9.7,-10.4,-7.8
2499,東貝,-10.3,-11.2,-8.4
2501,國建,6.2,5.2,7.1
2504,國產,8.7,7.9,9.5
2505,國揚,6.8,5.8,7.8
2506,太設,9.9,9.1,10.4
2509,全坤建,10.3,9.7,10.9
2511,太子,8.0,7.2,8.8
2514,龍邦,1.6,0.7,2.5
2515,中工,6.3,5.8,6.9
2516,新建,3.3,2.8,4.1
2520,冠德,12.0,11.1,12.8
2524,京城,5.2,4.2,6.3
2527,宏璟,11.9,11.1,12.6
2528,皇普,24.5,23.6,25.1
2530,華建,9.4,8.5,10.0
2534,宏盛,5.7,4.9,6.9
2535,達欣工,14.6,14.1,15.0
2536,宏普,5.8,5.2,6.5
2537,聯上發,11.4,10.8,11.7
2538,基泰,7.9,7.2,8.4
2539,櫻花建,22.4,21.5,23.2
2540,愛山林,24.6,23.7,25.5
2542,興富發,18.0,17.3,18.6
2543,皇昌,0.8,0.1,1.6
2545,皇翔,9.7,8.9,10.7
2546,根基,19.3,18.6,19.9
2547,日勝生,2.7,1.8,3.7
2548,華固,14.8,14.2,15.1
2549,,,,
2557,,,,
2568,,,,
2579,,,,
2580,,,,
2589,,,,
2596,綠意,4.1,3.4,5.1
2597,潤弘,9.4,8.5,10.3
2599,,,,
2601,益航,4.2,3.6,4.6
2603,長榮,7.0,6.1,8.0
2605,新興,4.1,3.7,4.8
2606,裕民,5.2,4.8,5.8
2607,榮運,4.4,3.9,5.0
2608,嘉里大榮,12.4,11.8,12.8
2609,陽明,6.3,4.9,7.8
2610,華航,0.1,-0.7,1.2
2611,志信,4.9,4.3,5.5
2612,中航,7.8,7.3,8.2
2613,中櫃,6.5,5.9,7.1
2614,東森,7.7,6.8,9.1
2615,萬海,11.3,10.6,12.1
2616,山隆,10.5,10.1,10.8
2617,台航,4.3,3.8,4.8
2618,長榮航,1.5,0.8,2.5
2619,,,,
2621,,,,
2630,亞航,-13.6,-13.7,-9.8
2633,台灣高鐵,8.2,7.2,8.9
2634,漢翔,1.8,1.3,2.5
2636,台驊投控,12.8,12.3,13.3
2637,慧洋-KY,2.8,2.5,3.2
2640,大車隊,7.8,7.0,8.7
2641,正德,2.4,1.1,4.1
2642,宅配通,-2.8,-3.9,-1.3
2643,捷迅,20.6,19.3,21.6
2701,萬企,3.0,2.6,3.5
2702,華園,0.5,-0.1,1.7
2704,國賓,1.2,0.7,2.0
2705,六福,2.4,1.5,3.7
2706,第一店,3.0,2.5,3.5
2707,晶華,11.2,10.7,11.4
2711,,,,
2712,遠雄來,9.4,8.8,10.1
2716,,,,
2718,晶悅,-3.2,-3.9,-2.1
2719,燦星旅,-10.3,-12.7,-6.4
2721,,,,
2722,夏都,-1.4,-1.9,-0.5
2723,美食-KY,-3.3,-4.4,-1.4
2724,富驛-KY,-16.8,-19.3,-12.7
2726,雅茗-KY,13.4,12.6,13.9
2727,王品,-6.1,-7.4,-3.9
2729,瓦城,2.9,2.3,3.6
2730,,,,
2731,雄獅,0.5,-0.3,1.5
2732,六角,6.7,5.4,8.0
2733,,,,
2734,易飛網,-13.7,-15.4,-11.0
2736,高野,-15.7,-16.5,-12.5
2738,,,,
2739,寒舍,-9.1,-9.9,-7.5
2740,天蔥,-13.9,-17.2,-8.9
2741,,,,
2743,山富,27.2,25.3,30.0
2745,五福,-14.3,-14.7,-11.5
2748,雲品,1.6,0.9,2.4
2750,,,,
2751,,,,
2752,豆府,33.4,32.2,35.2
2753,,,,
2754,亞洲藏壽司,-30.3,-30.7,-28.4
2755,揚秦,-12.9,-13.0,-12.0
2756,,,,
2758,,,,
2759,,,,
2801,彰銀,5.5,5.0,6.1
2807,渣打銀行,24.9,23.9,26.0
2809,京城銀,10.2,9.4,11.0
2812,台中銀,6.7,6.3,7.3
2816,旺旺保,8.4,7.8,9.7
2820,華票,7.9,7.4,8.6
2823,中壽,9.0,8.4,9.6
2832,台產,6.6,6.2,7.0
2833,台壽保,2.6,1.4,4.2
2834,臺企銀,4.3,3.8,4.9
2836,高雄銀,1.3,0.7,2.2
2837,凱基銀行,7.0,3.7,11.2
2838,聯邦銀,4.9,4.4,5.5
2841,台開,1.1,0.4,1.7
2845,遠東銀,3.1,2.4,4.3
2848,,,,
2849,安泰銀,4.6,4.1,5.6
2850,新產,12.8,12.3,13.3
2851,中再保,9.2,8.7,9.7
2852,第一保,4.8,4.2,5.5
2855,統一證,6.0,5.4,6.8
2856,元富證,2.7,2.1,3.7
2858,,,,
2862,,,,
2863,,,,
2867,三商壽,-3.8,-4.1,-3.0
2872,,,,
2873,,,,
2874,,,,
2876,,,,
2877,,,,
2880,華南金,5.4,5.0,5.9
2881,富邦金,6.5,6.1,7.2
2882,國泰金,2.0,1.5,2.9
2883,開發金,2.6,2.1,3.4
2884,玉山金,9.0,8.4,10.0
2885,元大金,6.0,5.5,6.6
2886,兆豐金,6.8,6.2,7.5
2887,台新金,4.2,3.3,5.6
2888,新光金,-1.7,-2.5,-0.5
2889,國票金,6.7,6.1,7.3
2890,永豐金,3.7,3.0,4.6
2891,中信金,4.9,4.4,5.8
2892,第一金,6.0,5.6,6.7
2893,,,,
2894,,,,
2895,,,,
2897,王道銀行,-3.7,-3.8,-2.7
2899,,,,
2901,欣欣,3.6,3.1,4.0
2903,遠百,5.7,5.2,6.5
2904,匯僑,23.8,23.3,24.2
2905,三商,11.2,10.6,11.8
2906,高林,6.8,6.3,7.2
2908,特力,5.1,4.7,5.6
2910,統領,4.7,4.1,6.0
2911,麗嬰房,-3.5,-4.0,-2.3
2912,統一超,11.8,11.3,12.0
2913,農林,7.4,6.7,7.9
2915,潤泰全,14.0,13.5,14.4
2916,滿心,3.1,2.5,3.8
2920,,,,
2923,鼎固-KY,3.4,2.4,4.3
2924,東凌-KY,-6.3,-6.6,-5.3
2926,誠品生活,-6.4,-6.7,-5.2
2928,紅馬-KY,-9.0,-10.4,-7.7
2929,淘帝-KY,-18.4,-19.0,-15.1
2936,客思達-KY,-6.5,-7.1,-4.5
2937,集雅社,7.9,6.7,9.3
2938,,,,
2939,凱羿-KY,-39.1,-40.4,-35.0
2940,,,,
2941,,,,
2942,,,,
2945,,,,
2947,,,,
2948,,,,
3002,歐格,3.1,2.2,3.7
3003,健和興,9.7,8.9,10.3
3004,豐達科,24.1,23.4,24.5
3005,神基,10.0,8.9,11.1
3006,晶豪科,7.0,5.8,8.3
3008,大立光,14.2,13.2,15.3
3010,華立,7.3,6.6,8.1
3011,今皓,-3.2,-4.6,-1.4
3013,晟銘電,1.9,1.2,2.6
3014,聯陽,9.5,8.7,10.4
3015,全漢,7.8,7.1,8.7
3016,嘉晶,9.4,8.1,10.7
3017,奇鋐,12.6,11.8,13.5
3018,同開,5.3,3.9,8.0
3019,亞光,0.3,-1.6,2.1
3021,鴻名,16.8,16.3,17.2
3022,威強電,10.2,9.6,10.9
3023,信邦,20.5,19.5,21.5
3024,憶聲,0.4,-1.1,2.4
3025,星通,9.6,8.2,10.9
3026,禾伸堂,11.4,10.4,12.4
3027,盛達,5.0,3.9,6.0
3028,增你強,6.2,5.4,7.0
3029,零壹,12.0,11.0,12.8
3030,德律,12.8,12.1,13.4
3031,佰鴻,-0.3,-1.3,1.5
3032,偉訓,11.5,10.5,12.5
3033,威健,8.8,8.2,9.4
3034,聯詠,11.6,10.3,13.3
3035,智原,3.8,2.9,5.2
3036,文曄,13.3,12.7,13.7
3037,欣興,9.2,7.9,10.8
3038,全台,4.5,2.6,6.5
3040,遠見,11.8,11.0,12.4
3041,揚智,1.5,0.2,3.2
3042,晶技,12.0,11.4,12.6
3043,科風,-3.8,-6.5,-1.0
3044,健鼎,7.0,6.1,8.0
3045,台灣大,11.7,11.4,11.8
3046,建,3.5,2.0,5.2
3047,訊舟,4.4,3.7,5.2
3048,益登,7.9,6.8,9.3
3049,和鑫,1.1,-0.1,3.4
3050,鈺德,8.1,6.9,9.3
3051,力特,-0.3,-4.3,3.2
3052,夆典,10.4,9.7,11.1
3054,立萬利,9.4,8.6,9.9
3055,蔚華科,6.0,5.0,7.0
3056,總太,18.2,16.9,19.4
3057,喬鼎,-0.0,-1.0,1.3
3058,立德,1.6,0.7,2.8
3059,華晶科,2.1,1.1,3.4
3060,銘異,-2.7,-3.4,-1.5
3062,建漢,-1.7,-2.4,-0.3
3064,泰偉,-0.1,-1.5,1.7
3066,李洲,-3.7,-4.8,-1.6
3067,全域,4.1,3.1,4.9
3071,協禧,5.4,3.7,6.9
3073,天方能源,-2.1,-4.9,0.5
3078,僑威,9.2,7.7,10.8
3081,聯亞,3.4,2.5,5.0
3083,網龍,8.4,7.8,9.0
3085,新零售,0.8,-1.2,3.2
3086,華義,11.2,10.1,12.7
3088,艾訊,6.8,6.0,7.9
3089,元炬,5.5,4.3,6.8
3090,日電貿,11.7,10.7,12.9
3092,鴻碩,11.4,8.9,13.6
3093,港建,1.9,1.2,2.7
3094,聯傑,-2.8,-4.4,-0.6
3095,及成,-8.2,-10.5,-5.6
3097,,,,
3105,穩懋,30.3,29.3,30.9
3114,好德,6.8,5.8,7.8
3115,寶島極,0.4,-1.0,2.0
3117,,,,
3118,進階,0.1,-0.9,1.3
3122,笙泉,-0.6,-2.1,1.7
3128,昇銳,0.1,-1.2,1.4
3130,一零四,4.5,3.7,5.4
3131,弘塑,19.5,18.3,20.5
3138,耀登,81.9,77.3,82.7
3141,晶宏,13.1,12.1,14.4
3144,新揚科,8.5,5.7,10.3
3147,大綜,16.8,15.2,18.2
3149,正達,-2.2,-4.8,1.7
3150,,,,
3151,,,,
3152,璟德,18.5,17.3,19.3
3157,,,,
3158,,,,
3162,精確,3.4,2.4,4.5
3163,波若威,7.5,6.6,8.8
3164,景岳,1.2,0.4,2.1
3167,大量,10.2,9.4,11.1
3168,,,,
3169,亞信,6.8,5.7,8.2
3171,新洲,4.2,2.8,5.5
3176,基亞,7.1,6.1,7.8
3178,公準,20.6,19.1,21.6
3184,,,,
3188,鑫龍騰,-1.0,-2.3,0.4
3189,景碩,2.3,1.3,3.6
3191,和進,-1.9,-3.7,-0.3
3197,,,,
3202,樺晟,0.7,-1.0,2.6
3205,佰研,7.7,6.4,8.7
3206,志豐,6.9,5.3,8.5
3207,耀勝,-1.4,-2.5,-0.0
3209,全科,10.0,9.3,10.6
3211,順達,8.5,8.0,9.0
3213,茂訊,5.2,4.5,6.1
3217,優群,19.0,18.0,20.0
3218,大學光,15.9,14.3,16.8
3219,倚強股份,8.5,6.6,10.6
3221,台嘉碩,1.3,-0.1,2.8
3224,三顧,9.9,8.2,11.4
3226,至寶電,6.7,5.3,8.5
3227,原相,6.4,5.2,7.6
3228,金麗科,17.0,15.6,17.8
3229,晟鈦,-7.8,-9.3,-5.9
3230,錦明,-4.5,-6.0,-2.7
3231,緯創,5.9,5.2,6.9
3232,昱捷,3.0,1.9,4.0
3234,光環,6.5,5.5,8.2
3236,千如,9.3,8.3,10.6
3252,海灣,2.4,0.5,7.7
3257,虹冠電,13.4,11.9,14.8
3259,鑫創,5.7,4.4,7.2
3260,威剛,3.9,1.9,6.6
3264,欣銓,7.9,7.1,8.9
3265,台星科,7.0,6.0,8.0
3266,昇陽,-1.6,-2.8,-0.2
3268,海德威,-1.8,-3.9,-0.1
3272,東碩,-3.5,-5.2,0.3
3276,宇環,-0.6,-2.3,1.3
3280,,,,
3284,太普高,4.8,3.7,5.7
3285,微端,7.8,6.6,8.5
3287,廣寰科,8.0,6.5,9.3
3288,點晶,-1.3,-3.6,0.7
3289,宜特,4.1,3.1,5.2
3290,東浦,5.2,4.3,6.0
3293,鈊象,17.2,16.3,18.4
3294,英濟,-0.3,-2.0,1.6
3296,勝德,-3.3,-4.8,-1.6
3297,杭特,2.1,1.1,3.4
3298,圓創,-34.1,-35.0,-29.9
3303,岱稜,-0.7,-2.4,1.4
3305,昇貿,0.6,-0.4,2.0
3306,鼎天,-1.4,-2.6,0.1
3308,聯德,-5.7,-7.3,-3.8
3310,佳穎,7.5,6.2,9.1
3311,閎暉,-1.1,-2.5,0.6
3312,弘憶股,4.7,3.2,6.1
3313,斐成,-5.4,-7.7,-2.6
3317,尼克森,1.7,-0.7,4.4
3321,同泰,-7.5,-9.2,-3.8
3322,建舜電,-2.1,-3.6,-0.2
3323,加百裕,4.0,2.6,5.4
3324,雙鴻,14.0,11.6,17.1
3325,旭品,1.5,-0.0,3.2
3332,幸康,4.8,4.3,5.3
3338,泰碩,12.3,11.3,13.8
3339,泰谷,-0.8,-3.5,2.6
3342,,,,
3346,麗清,2.0,0.4,4.6
3349,,,,
3354,律勝,-1.5,-3.2,0.5
3356,奇偶,-1.2,-1.7,-0.1
3357,,,,
3360,尚立,2.6,1.2,4.0
3362,先進光,3.5,2.1,4.9
3363,上詮,-2.8,-4.1,-1.1
3369,鐵研,-86.6,-86.6,-73.4
3372,典範,1.4,-0.1,3.2
3373,熱映,13.9,13.0,14.9
3374,精材,24.3,21.6,27.3
3376,新日興,2.9,1.8,4.3
3377,,,,
3379,彬台,-4.0,-5.6,-2.5
3380,明泰,4.9,4.1,6.1
3383,新世紀,-8.3,-10.8,-4.7
3386,,,,
3388,崇越電,2.6,1.8,3.5
3390,旭軟,1.4,0.4,2.7
3391,,,,
3402,漢科,6.2,4.7,7.6
3405,,,,
3406,玉晶光,9.3,5.9,12.9
3413,京鼎,25.0,23.6,26.3
3416,融程電,7.1,6.5,7.8
3419,譁裕,-0.9,-2.5,1.2
3426,台興,-0.9,-1.7,0.4
3429,,,,
3430,,,,
3431,長天,-12.8,-14.5,-10.5
3432,台端,-2.7,-4.1,-0.8
3434,哲固,1.0,-0.2,2.2
3437,榮創,-6.8,-9.0,-2.8
3438,類比科,0.1,-1.4,2.2
3441,聯一光,1.9,0.3,3.6
3443,創意,14.4,13.7,14.9
3444,利機,9.7,8.9,10.5
3447,,,,
3450,聯鈞,11.8,10.4,13.1
3452,益通,-15.8,-16.5,-7.7
3454,晶睿,4.4,2.8,6.3
3455,由田,7.9,6.6,9.2
3462,,,,
3463,,,,
3465,進泰電子,23.3,21.1,25.3
3466,致振,-5.0,-6.3,-3.1
3472,,,,
3479,安勤,7.0,6.1,7.9
3481,群創,-2.9,-4.2,-0.9
3483,力致,5.7,4.1,7.8
3484,崧騰,9.7,8.6,10.8
3485,,,,
3488,,,,
3489,森寶,-3.2,-4.8,-1.4
3490,單井,3.2,2.0,4.5
3491,昇達科,6.4,5.5,7.2
3492,長盛,-1.2,-2.3,0.1
3494,誠研,-6.2,-7.1,-4.5
3498,陽程,0.9,-1.1,3.3
3499,環天科,-3.5,-5.2,-1.3
3501,維熹,3.9,3.0,5.1
3504,揚明光,1.3,-0.2,2.7
3507,,,,
3508,位速,-4.0,-5.4,-1.6
3509,,,,
3510,,,,
3511,矽瑪,3.3,2.1,4.5
3512,皇龍,-1.4,-4.2,0.6
3515,華擎,6.5,5.0,8.1
3516,亞帝歐,-1.1,-2.7,0.4
3518,柏騰,-3.7,-5.5,-1.5
3519,綠能,-31.9,-33.9,-22.2
3520,華盈,-1.6,-3.3,0.5
3521,鴻翊,-4.8,-6.7,-2.8
3522,御頂,-3.9,-6.1,-1.5
3523,迎輝,-7.4,-8.9,-4.5
3525,,,,
3526,凡甲,8.7,7.3,10.1
3527,聚積,1.2,-0.4,3.0
3528,安馳,8.7,8.1,9.4
3529,力旺,19.9,18.5,20.9
3530,晶相光,-2.4,-4.4,1.2
3531,先益,0.7,-0.5,2.0
3532,台勝科,4.4,2.5,6.2
3533,嘉澤,21.5,20.5,22.4
3535,晶彩科,1.9,0.5,3.6
3536,誠創,-8.3,-10.8,-5.4
3537,堡達,8.7,7.6,9.7
3539,,,,
3540,曜越,6.8,5.2,8.4
3541,西柏,11.5,10.9,12.1
3543,州巧,54.6,51.6,56.0
3545,敦泰,4.3,2.6,6.8
3546,宇峻,7.9,6.7,9.7
